Feature,Recovery,Bull,Bear,Crisis,Selected_Regime_Count
Close_to_EMA_20,Yes,Yes,Yes,Yes,4
Close_to_SMA_20,Yes,Yes,Yes,Yes,4
Daily_Return,Yes,Yes,Yes,Yes,4
Log_Return,Yes,Yes,Yes,Yes,4
Close_to_EMA_10,Yes,Yes,No,Yes,3
Close_to_SMA_50,Yes,No,Yes,Yes,3
Close_to_EMA_50,No,No,Yes,Yes,2
MACD_Histogram,No,No,Yes,Yes,2
Normalized_ATR,No,No,Yes,Yes,2
Close_to_SMA_10,No,No,Yes,No,1
ROC_10,No,No,No,Yes,1
Volatility_20,No,No,No,Yes,1
ATR_14,No,No,No,No,0
Bollinger_Position,No,No,No,No,0
Bollinger_Width,No,No,No,No,0
MACD,No,No,No,No,0
MACD_Signal,No,No,No,No,0
Momentum_10,No,No,No,No,0
OBV_Change,No,No,No,No,0
RSI_14,No,No,No,No,0
Volume_Ratio,No,No,No,No,0
