Model,Feature,Posterior_Mean_Coefficient,Lower_95,Upper_95,Selected,Abs_Coefficient,Rank
Standard Bayesian LASSO,Close_to_EMA_20,0.5008690944532834,0.23871132564651368,0.7649207594325876,True,0.5008690944532834,1
Standard Bayesian LASSO,Close_to_SMA_20,-0.29325213908490433,-0.4224351482434015,-0.15729572452536608,True,0.29325213908490433,2
Standard Bayesian LASSO,Daily_Return,-0.2921639016413916,-0.5624011733022385,-0.006189520994052602,True,0.2921639016413916,3
Standard Bayesian LASSO,Log_Return,0.2885095808149888,0.001350968626907881,0.5616920800898768,True,0.2885095808149888,4
Standard Bayesian LASSO,Close_to_SMA_10,-0.19062523420717603,-0.29692920747028423,-0.09347190269616193,True,0.19062523420717603,5
Standard Bayesian LASSO,Normalized_ATR,0.19047086268193247,0.14835842492503484,0.2259029415733459,True,0.19047086268193247,6
Standard Bayesian LASSO,Close_to_EMA_50,-0.11124417886216639,-0.18137006471264852,-0.04116599505206212,True,0.11124417886216639,7
Standard Bayesian LASSO,Volatility_20,-0.09499671004637128,-0.13214828137525386,-0.05417502909953475,True,0.09499671004637128,8
Standard Bayesian LASSO,ROC_10,0.07107489290338886,0.03587968176260391,0.10729185764577165,False,0.07107489290338886,9
Standard Bayesian LASSO,MACD_Signal,-0.05437376348730485,-1.2936619734811705,0.9829794190576431,False,0.05437376348730485,10
Standard Bayesian LASSO,MACD,0.05316570877245665,-1.0256489706654595,1.3653899375776426,False,0.05316570877245665,11
Standard Bayesian LASSO,Close_to_EMA_10,-0.04302158534346834,-0.21356474369890666,0.10915328116199398,False,0.04302158534346834,12
Standard Bayesian LASSO,Bollinger_Position,0.040128243680231115,0.009574575021386695,0.06703073268179054,False,0.040128243680231115,13
Standard Bayesian LASSO,Momentum_10,-0.03588409160440657,-0.06488733667062108,0.001209596074385852,False,0.03588409160440657,14
Standard Bayesian LASSO,Volume_Ratio,-0.02852224293726695,-0.04256799347980852,-0.014328298958523507,False,0.02852224293726695,15
Standard Bayesian LASSO,MACD_Histogram,0.028269219437424775,-0.36173203942284243,0.3805652204234741,False,0.028269219437424775,16
Standard Bayesian LASSO,RSI_14,-0.010462063004820315,-0.039394164311421176,0.01616909880684556,False,0.010462063004820315,17
Standard Bayesian LASSO,Close_to_SMA_50,-0.008454644645763077,-0.10252823121737772,0.09946818479224094,False,0.008454644645763077,18
Standard Bayesian LASSO,ATR_14,-0.008440905113117955,-0.02128813462614959,0.004303827246695917,False,0.008440905113117955,19
Standard Bayesian LASSO,Bollinger_Width,0.005946269466447669,-0.016537844872510976,0.027299231896342757,False,0.005946269466447669,20
Standard Bayesian LASSO,OBV_Change,-0.005761776640989834,-0.01750472165699452,0.004534419092053348,False,0.005761776640989834,21
