RMSE,MAE,R2,Direction_Accuracy,Gamma,Delta,Rank
1.195624,0.927272,0.506401,0.75875,1.0,0.1,1
1.196086,0.927582,0.50602,0.75875,0.5,0.5,2
1.196439,0.927744,0.505728,0.75875,0.5,0.1,3
1.196719,0.927831,0.505497,0.7595,0.1,0.1,4
1.196851,0.927983,0.505387,0.7595,0.1,0.5,5
1.20421,0.930865,0.499286,0.7565,0.1,5.0,6
1.204493,0.932156,0.499051,0.76,1.0,0.5,7
1.204794,0.931781,0.498801,0.75875,0.5,2.0,8
1.205197,0.932276,0.498465,0.75825,1.0,1.0,9
1.205351,0.931899,0.498337,0.7575,1.0,2.0,10
1.205495,0.931598,0.498217,0.7565,0.5,5.0,11
1.20661,0.933452,0.497288,0.759,0.1,2.0,12
1.206835,0.93376,0.497101,0.75825,0.5,1.0,13
1.207153,0.933605,0.496836,0.7585,0.1,1.0,14
1.209493,0.934232,0.494884,0.7565,2.0,0.1,15
1.211906,0.935365,0.492866,0.75675,2.0,0.5,16
1.217091,0.938446,0.488517,0.75725,2.0,1.0,17
1.219056,0.939617,0.486864,0.754,1.0,5.0,18
1.240771,0.952565,0.468421,0.754,2.0,2.0,19
1.312812,0.995156,0.4049,0.742,2.0,5.0,20
1.317605,0.997714,0.400547,0.72125,5.0,0.1,21
1.317733,0.997858,0.40043,0.71975,5.0,2.0,22
1.317939,0.998197,0.400243,0.718,5.0,1.0,23
1.318133,0.998308,0.400067,0.72025,5.0,0.5,24
1.322524,1.000689,0.396063,0.7195,5.0,5.0,25
