Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.676377,0.628324,0.76544,0.213887
Bollinger_Position,0.214105,0.335221,0.168634,0.089024
Bollinger_Width,0.222207,0.3116,0.613353,0.321655
Close_to_EMA_10,0.294677,0.447397,0.115715,0.741496
Close_to_EMA_20,0.257969,0.49964,0.077368,0.392511
Close_to_EMA_50,0.404955,0.459691,0.640446,0.378395
Close_to_SMA_10,0.264331,0.473818,0.202215,0.53883
Close_to_SMA_20,0.392393,0.325874,0.258262,0.246969
Close_to_SMA_50,0.367445,0.334099,0.332609,0.377754
Daily_Return,0.298615,0.31295,0.21565,0.663808
Log_Return,0.0,0.134101,0.063455,0.080461
MACD,0.294284,0.214233,0.245498,0.436278
MACD_Histogram,0.134174,0.215712,0.206176,0.31066
MACD_Signal,0.27464,0.185871,0.474652,0.375658
Momentum_10,0.496231,0.122609,0.18208,0.010468
Normalized_ATR,0.813413,1.0,0.695846,0.947268
OBV_Change,0.651674,0.363536,0.461954,0.523009
ROC_10,0.345637,0.275953,0.587487,0.13084
RSI_14,0.573099,0.173864,0.195167,0.180752
Volatility_20,0.447601,0.43943,0.673376,0.366462
Volume_Ratio,0.328591,0.498498,0.57704,0.42624
