Regime,Feature,Top_K_Appearances,Total_Settings,Stability_Rate
Bear,ATR_14,9,9,1.0
Bear,Bollinger_Width,9,9,1.0
Bear,Close_to_EMA_50,9,9,1.0
Bear,Normalized_ATR,9,9,1.0
Bear,Volatility_20,9,9,1.0
Bull,ATR_14,9,9,1.0
Bull,Close_to_EMA_20,9,9,1.0
Bull,Close_to_SMA_10,9,9,1.0
Bull,Normalized_ATR,9,9,1.0
Bull,Volume_Ratio,9,9,1.0
Crisis,Close_to_EMA_10,9,9,1.0
Crisis,Close_to_SMA_10,9,9,1.0
Crisis,Daily_Return,9,9,1.0
Crisis,Normalized_ATR,9,9,1.0
Crisis,OBV_Change,9,9,1.0
Recovery,ATR_14,9,9,1.0
Recovery,Momentum_10,9,9,1.0
Recovery,Normalized_ATR,9,9,1.0
Recovery,OBV_Change,9,9,1.0
Recovery,RSI_14,9,9,1.0
