Feature,Recovery,Bull,Bear,Crisis,Average_Importance
Normalized_ATR,High,High,Medium,High,0.07471741929396683
ATR_14,Medium,Medium,Medium,Medium,0.05866954376514216
OBV_Change,Medium,Medium,Medium,Medium,0.054784427534491816
Volatility_20,Medium,Medium,Medium,Medium,0.053781122243454174
Close_to_EMA_50,Medium,Medium,Medium,Medium,0.05318736049436662
Volume_Ratio,Medium,Medium,Medium,Medium,0.05246035172514744
Close_to_EMA_10,Medium,Medium,Low,Medium,0.049297512241945646
Daily_Return,Medium,Medium,Medium,Medium,0.047815748500848354
Close_to_SMA_10,Medium,Medium,Medium,Medium,0.047653854472837126
Bollinger_Width,Medium,Medium,Medium,Medium,0.04751178111804627
Close_to_SMA_50,Medium,Medium,Medium,Medium,0.046732878019786595
ROC_10,Medium,Medium,Medium,Low,0.04574757551782583
MACD_Signal,Medium,Medium,Medium,Medium,0.04534932985446308
Close_to_EMA_20,Medium,Medium,Low,Medium,0.044208777222826165
Close_to_SMA_20,Medium,Medium,Medium,Medium,0.044154158603508895
MACD,Medium,Medium,Medium,Medium,0.04369969792572238
RSI_14,Medium,Medium,Medium,Medium,0.04277703498452298
MACD_Histogram,Low,Medium,Medium,Medium,0.039270990196958296
Momentum_10,Medium,Low,Medium,Low,0.03851363438868893
Bollinger_Position,Medium,Medium,Medium,Low,0.038453367038077134
Log_Return,Low,Low,Low,Low,0.031213437418510383
