Case,Samples_Per_Regime,Model,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,Selected_Count_Mean,Selected_Count_Std
Strong,5000,Classical LASSO,0.984615,0.032434,1.0,0.0,0.992,0.016865,12.2,0.421637
Strong,5000,Standard Bayesian LASSO,0.947253,0.049633,1.0,0.0,0.972308,0.026349,12.7,0.674949
Strong,5000,Proposed Prior,0.99375,0.019764,0.9375,0.0,0.960714,0.011294,3.025,0.079057
Strong,10000,Classical LASSO,0.964615,0.066092,1.0,0.0,0.980889,0.036352,12.5,0.971825
Strong,10000,Standard Bayesian LASSO,0.962637,0.051854,1.0,0.0,0.980308,0.027567,12.5,0.707107
Strong,10000,Proposed Prior,1.0,0.0,0.9375,0.0,0.964286,0.0,3.0,0.0
Weak,5000,Proposed Prior,1.0,0.0,0.93,0.02582,0.961111,0.014344,4.65,0.129099
Weak,5000,Classical LASSO,1.0,0.0,0.5,0.0,0.666667,0.0,4.0,0.0
Weak,5000,Standard Bayesian LASSO,1.0,0.0,0.5,0.0,0.666667,0.0,4.0,0.0
Weak,10000,Proposed Prior,1.0,0.0,0.935,0.024152,0.963889,0.013418,4.675,0.120761
Weak,10000,Classical LASSO,1.0,0.0,0.5,0.0,0.666667,0.0,4.0,0.0
Weak,10000,Standard Bayesian LASSO,1.0,0.0,0.5,0.0,0.666667,0.0,4.0,0.0
