Case,Samples_Per_Regime,Replication,Baseline,RMSE_Improvement,RMSE_Improvement_Percent,R2_Improvement,Direction_Accuracy_Improvement
Strong,5000,1,Classical LASSO,0.434981,26.188667,0.428393,0.1688
Strong,5000,1,Standard Bayesian LASSO,0.43463,26.173087,0.427996,0.172
Strong,5000,2,Classical LASSO,0.455596,27.526635,0.446628,0.1908
Strong,5000,2,Standard Bayesian LASSO,0.455915,27.540612,0.446991,0.1884
Strong,5000,3,Classical LASSO,0.415754,25.254771,0.40955,0.1746
Strong,5000,3,Standard Bayesian LASSO,0.415235,25.2312,0.408965,0.1726
Strong,5000,4,Classical LASSO,0.458753,27.140048,0.437446,0.1786
Strong,5000,4,Standard Bayesian LASSO,0.459232,27.160694,0.437974,0.1798
Strong,5000,5,Classical LASSO,0.432326,26.477304,0.427359,0.184
Strong,5000,5,Standard Bayesian LASSO,0.432391,26.480217,0.427432,0.1786
Strong,5000,6,Classical LASSO,0.435683,26.474412,0.43619,0.1882
Strong,5000,6,Standard Bayesian LASSO,0.435694,26.474942,0.436203,0.1824
Strong,5000,7,Classical LASSO,0.448989,27.303877,0.442803,0.1754
Strong,5000,7,Standard Bayesian LASSO,0.445604,27.153911,0.438941,0.1796
Strong,5000,8,Classical LASSO,0.422939,26.021471,0.425661,0.1692
Strong,5000,8,Standard Bayesian LASSO,0.424433,26.089386,0.427389,0.1728
Strong,5000,9,Classical LASSO,0.430822,26.605948,0.42597,0.1704
Strong,5000,9,Standard Bayesian LASSO,0.429179,26.531405,0.424097,0.1698
Strong,5000,10,Classical LASSO,0.42477,25.980215,0.420557,0.1722
Strong,5000,10,Standard Bayesian LASSO,0.425886,26.030684,0.421827,0.1718
Strong,10000,1,Classical LASSO,0.419804,25.739827,0.41977,0.1823
Strong,10000,1,Standard Bayesian LASSO,0.418129,25.663496,0.417849,0.1787
Strong,10000,2,Classical LASSO,0.44671,26.68497,0.434596,0.1726
Strong,10000,2,Standard Bayesian LASSO,0.444644,26.59439,0.432278,0.1754
Strong,10000,3,Classical LASSO,0.444923,26.914683,0.43733,0.1874
Strong,10000,3,Standard Bayesian LASSO,0.445429,26.93704,0.437904,0.1919
Strong,10000,4,Classical LASSO,0.440472,26.630872,0.431574,0.1674
Strong,10000,4,Standard Bayesian LASSO,0.440668,26.639567,0.431795,0.1685
Strong,10000,5,Classical LASSO,0.440309,26.587344,0.429448,0.1718
Strong,10000,5,Standard Bayesian LASSO,0.440538,26.597526,0.429707,0.1745
Strong,10000,6,Classical LASSO,0.430425,25.968875,0.422314,0.1673
Strong,10000,6,Standard Bayesian LASSO,0.433786,26.118685,0.426108,0.1747
Strong,10000,7,Classical LASSO,0.443553,26.9889,0.433975,0.1755
Strong,10000,7,Standard Bayesian LASSO,0.443713,26.995999,0.434156,0.1762
Strong,10000,8,Classical LASSO,0.433629,26.490288,0.434283,0.1791
Strong,10000,8,Standard Bayesian LASSO,0.434751,26.54065,0.435579,0.1802
Strong,10000,9,Classical LASSO,0.42932,25.965925,0.424383,0.1714
Strong,10000,9,Standard Bayesian LASSO,0.430364,26.012613,0.425569,0.175
Strong,10000,10,Classical LASSO,0.453222,27.258144,0.441012,0.1752
Strong,10000,10,Standard Bayesian LASSO,0.451712,27.192044,0.439312,0.1743
Weak,5000,1,Classical LASSO,0.006538,0.601913,0.009278,0.0042
Weak,5000,1,Standard Bayesian LASSO,0.007337,0.675049,0.010417,0.0026
Weak,5000,2,Classical LASSO,0.004484,0.41771,0.00615,-0.0004
Weak,5000,2,Standard Bayesian LASSO,0.005306,0.49397,0.007282,-0.0006
Weak,5000,3,Classical LASSO,0.002118,0.192455,0.00288,0.0004
Weak,5000,3,Standard Bayesian LASSO,0.002904,0.26361,0.003949,0.0
Weak,5000,4,Classical LASSO,0.002806,0.257941,0.003913,-0.0038
Weak,5000,4,Standard Bayesian LASSO,0.00385,0.353546,0.00537,-0.003
Weak,5000,5,Classical LASSO,0.001608,0.149817,0.002226,-0.0014
Weak,5000,5,Standard Bayesian LASSO,0.003537,0.329036,0.004901,-0.0014
Weak,5000,6,Classical LASSO,-0.000815,-0.07487,-0.001137,0.0062
Weak,5000,6,Standard Bayesian LASSO,-0.001184,-0.10872,-0.00165,0.003
Weak,5000,7,Classical LASSO,0.00428,0.396732,0.00597,0.007
Weak,5000,7,Standard Bayesian LASSO,0.004576,0.424049,0.006384,0.0052
Weak,5000,8,Classical LASSO,0.005766,0.532331,0.008057,-0.0004
Weak,5000,8,Standard Bayesian LASSO,0.006116,0.564434,0.008547,-0.0006
Weak,5000,9,Classical LASSO,0.007218,0.654108,0.009864,0.0028
Weak,5000,9,Standard Bayesian LASSO,0.008665,0.784153,0.011848,0.0068
Weak,5000,10,Classical LASSO,0.00186,0.173321,0.002531,0.0008
Weak,5000,10,Standard Bayesian LASSO,0.001294,0.120605,0.00176,0.0004
Weak,10000,1,Classical LASSO,0.004456,0.405967,0.006189,0.0044
Weak,10000,1,Standard Bayesian LASSO,0.005342,0.48628,0.007422,0.001
Weak,10000,2,Classical LASSO,0.001223,0.111702,0.001663,-0.0023
Weak,10000,2,Standard Bayesian LASSO,0.000587,0.053599,0.000797,-0.0017
Weak,10000,3,Classical LASSO,0.005556,0.509687,0.007618,-0.0015
Weak,10000,3,Standard Bayesian LASSO,0.00391,0.35922,0.005357,-0.002
Weak,10000,4,Classical LASSO,0.004286,0.394644,0.005895,0.005
Weak,10000,4,Standard Bayesian LASSO,0.005773,0.530859,0.007945,0.0048
Weak,10000,5,Classical LASSO,0.002933,0.267989,0.004048,0.0019
Weak,10000,5,Standard Bayesian LASSO,0.004037,0.368476,0.005574,0.0003
Weak,10000,6,Classical LASSO,0.003833,0.353181,0.00531,0.0022
Weak,10000,6,Standard Bayesian LASSO,0.004073,0.375198,0.005643,0.0002
Weak,10000,7,Classical LASSO,0.006169,0.571002,0.008663,0.0046
Weak,10000,7,Standard Bayesian LASSO,0.007652,0.707331,0.010754,0.0026
Weak,10000,8,Classical LASSO,0.004989,0.459228,0.006894,0.0045
Weak,10000,8,Standard Bayesian LASSO,0.004613,0.424743,0.006373,0.0014
Weak,10000,9,Classical LASSO,0.001584,0.144742,0.002164,0.005
Weak,10000,9,Standard Bayesian LASSO,0.001771,0.161766,0.002419,0.0065
Weak,10000,10,Classical LASSO,0.004297,0.394742,0.005958,0.004
Weak,10000,10,Standard Bayesian LASSO,0.004463,0.409908,0.006188,0.0025
