Model,RMSE,MAE,R2,Direction_Accuracy,Test_Rows,Test_Year,Train_Rows,Window_Test_Rows
Classical LASSO,0.034603,0.0235,0.000878,0.511009,7812,2015,73492,7812
Elastic Net,0.034603,0.023501,0.000902,0.511777,7812,2015,73492,7812
Adaptive LASSO,0.034597,0.023492,0.001277,0.512673,7812,2015,73492,7812
Regime-specific LASSO,0.034464,0.023465,0.008942,0.53213,7812,2015,73492,7812
Proposed Prior - Full,0.034542,0.023553,0.004409,0.520353,7812,2015,73492,7812
Classical LASSO,0.032769,0.022324,-0.008931,0.514977,7812,2016,81304,7812
Elastic Net,0.032768,0.022324,-0.00888,0.515105,7812,2016,81304,7812
Adaptive LASSO,0.032782,0.022337,-0.009757,0.513185,7812,2016,81304,7812
Regime-specific LASSO,0.032603,0.02214,0.001266,0.540195,7812,2016,81304,7812
Proposed Prior - Full,0.032794,0.02236,-0.010498,0.520481,7812,2016,81304,7812
Classical LASSO,0.026797,0.018703,-0.097496,0.477831,7781,2017,89116,7781
Elastic Net,0.026782,0.01869,-0.09626,0.478088,7781,2017,89116,7781
Adaptive LASSO,0.02685,0.018749,-0.101833,0.47706,7781,2017,89116,7781
Regime-specific LASSO,0.026014,0.017939,-0.034304,0.530523,7781,2017,89116,7781
Proposed Prior - Full,0.026375,0.018234,-0.063186,0.513045,7781,2017,89116,7781
Classical LASSO,0.039512,0.028764,-0.004302,0.512531,7781,2018,96897,7781
Elastic Net,0.039511,0.028759,-0.004233,0.515101,7781,2018,96897,7781
Adaptive LASSO,0.039516,0.02875,-0.004496,0.513302,7781,2018,96897,7781
Regime-specific LASSO,0.039816,0.028819,-0.019775,0.532836,7781,2018,96897,7781
Proposed Prior - Full,0.039982,0.028955,-0.028319,0.522555,7781,2018,96897,7781
Classical LASSO,0.032838,0.023721,-0.055673,0.508193,7812,2019,104678,7812
Elastic Net,0.032834,0.023717,-0.055401,0.508321,7812,2019,104678,7812
Adaptive LASSO,0.03278,0.02364,-0.051966,0.516257,7812,2019,104678,7812
Regime-specific LASSO,0.032641,0.023347,-0.043066,0.560676,7812,2019,104678,7812
Proposed Prior - Full,0.032915,0.02361,-0.060612,0.541859,7812,2019,104678,7812
Classical LASSO,0.059386,0.039599,0.004363,0.533724,7843,2020,112490,7843
Elastic Net,0.059402,0.03963,0.003809,0.533342,7843,2020,112490,7843
Adaptive LASSO,0.059378,0.039627,0.004628,0.530919,7843,2020,112490,7843
Regime-specific LASSO,0.060403,0.040929,-0.030045,0.507841,7843,2020,112490,7843
Proposed Prior - Full,0.060262,0.040865,-0.025243,0.511539,7843,2020,112490,7843
Classical LASSO,0.034607,0.025802,-0.015469,0.511521,7812,2021,120333,7812
Elastic Net,0.034609,0.025803,-0.015597,0.512673,7812,2021,120333,7812
Adaptive LASSO,0.034612,0.025795,-0.015788,0.509601,7812,2021,120333,7812
Regime-specific LASSO,0.034784,0.025787,-0.025902,0.512161,7812,2021,120333,7812
Proposed Prior - Full,0.034943,0.025908,-0.035293,0.515105,7812,2021,120333,7812
Classical LASSO,0.05188,0.037572,-0.00613,0.504948,7781,2022,128145,7781
Elastic Net,0.051876,0.037567,-0.005969,0.506362,7781,2022,128145,7781
Adaptive LASSO,0.051886,0.037576,-0.006356,0.50302,7781,2022,128145,7781
Regime-specific LASSO,0.053018,0.038593,-0.050738,0.484257,7781,2022,128145,7781
Proposed Prior - Full,0.053186,0.038761,-0.057425,0.488626,7781,2022,128145,7781
Classical LASSO,0.036349,0.026215,-0.022686,0.512516,7750,2023,135926,7750
Elastic Net,0.036355,0.026222,-0.023055,0.512387,7750,2023,135926,7750
Adaptive LASSO,0.036297,0.026171,-0.019769,0.515226,7750,2023,135926,7750
Regime-specific LASSO,0.036108,0.02596,-0.009166,0.52671,7750,2023,135926,7750
Proposed Prior - Full,0.036241,0.026107,-0.016636,0.522839,7750,2023,135926,7750
Classical LASSO,0.036863,0.026351,-0.003454,0.530082,7812,2024,143676,7812
Elastic Net,0.03687,0.026358,-0.003826,0.527522,7812,2024,143676,7812
Adaptive LASSO,0.036872,0.026367,-0.003928,0.521889,7812,2024,143676,7812
Regime-specific LASSO,0.036746,0.026282,0.002922,0.533794,7812,2024,143676,7812
Proposed Prior - Full,0.036884,0.026431,-0.004598,0.528546,7812,2024,143676,7812
Classical LASSO,0.04363,0.030809,0.000352,0.524687,7595,2025,151488,7595
Elastic Net,0.043642,0.030836,-0.000194,0.522712,7595,2025,151488,7595
Adaptive LASSO,0.04363,0.030753,0.000365,0.525346,7595,2025,151488,7595
Regime-specific LASSO,0.043834,0.030812,-0.009025,0.540619,7595,2025,151488,7595
Proposed Prior - Full,0.043838,0.030844,-0.009195,0.529822,7595,2025,151488,7595
