Case,Samples_Per_Regime,Model,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std,R2_Mean,R2_Std,Direction_Accuracy_Mean,Direction_Accuracy_Std
Strong,5000,Proposed Prior,1.20945,0.015172,0.931939,0.013154,0.494569,0.009305,0.7595,0.004978
Strong,5000,Standard Bayesian LASSO,1.64527,0.020468,1.298927,0.015193,0.064788,0.008216,0.58272,0.006081
Strong,5000,Classical LASSO,1.645512,0.020295,1.299118,0.0154,0.064514,0.007882,0.58228,0.007813
Strong,10000,Proposed Prior,1.213973,0.009589,0.935157,0.008583,0.494375,0.007458,0.76118,0.004949
Strong,10000,Classical LASSO,1.652209,0.012451,1.306189,0.00976,0.063507,0.004415,0.58618,0.004028
Strong,10000,Standard Bayesian LASSO,1.652346,0.012347,1.30702,0.0106,0.06335,0.004731,0.58424,0.003337
Weak,5000,Proposed Prior,1.081328,0.010689,0.862732,0.008608,0.252808,0.011388,0.6665,0.007528
Weak,5000,Classical LASSO,1.084915,0.010938,0.865364,0.008614,0.247835,0.012266,0.66496,0.00766
Weak,5000,Standard Bayesian LASSO,1.085568,0.011104,0.865764,0.008726,0.246927,0.012458,0.66526,0.007346
Weak,10000,Proposed Prior,1.085905,0.006608,0.864678,0.005045,0.252185,0.00516,0.66752,0.004382
Weak,10000,Classical LASSO,1.089837,0.005454,0.868588,0.004214,0.246745,0.006039,0.66474,0.004958
Weak,10000,Standard Bayesian LASSO,1.090127,0.005323,0.86852,0.004125,0.246338,0.006865,0.66596,0.003939
